Store Member,Spend ($),Salary,Weight (lb),Times Visited in Past Year,Age
0,130.65,10000,200,9,22
0,113.3,8440,181,20,14
0,44.51,2486,108,1,38
1,685.35,66785,184,10,13
0,493.08,47268,147,10,11
1,751.03,72203,166,16,12
0,326.21,30831,124,10,50
0,462.95,44510,158,5,24
0,328.22,29997,167,11,39
1,508.35,47445,192,14,16
1,544.99,53244,120,7,14
1,715.89,69219,129,8,14
1,762.06,72956,190,6,30
1,623.12,59007,160,13,19
0,419.72,39422,129,16,23
1,680.82,65917,151,15,29
1,691.57,65722,192,11,22
1,702.25,68360,154,17,35
1,719.51,69686,139,19,35
0,162.74,13274,162,16,44
0,383.41,34506,187,17,32
1,638.79,61969,158,2,44
1,598.59,57779,126,16,36
0,327.1,29590,140,16,36
0,241.56,22576,126,16,36
1,633.67,61967,174,12,13
0,252.46,22521,183,19,21
0,389.12,37527,119,19,36
1,776.94,74759,114,11,41
0,96.23,7013,128,2,29
1,693.02,66672,145,12,19
1,567.6,53980,137,6,33
0,465.27,44132,135,1,16
1,620.23,58608,175,13,47
1,801.55,78760,154,15,14
1,555.22,54032,120,10,12
1,571.4,53845,185,1,46
0,112.44,9004,128,16,38
1,606.53,59103,143,0,16
1,791.88,75608,156,16,46
0,144.52,11082,152,14,35
0,249.38,21993,115,11,41
0,299.97,26857,200,12,22
0,325.05,28755,185,0,45
0,220.67,20677,114,10,35
0,173.18,15073,166,9,38
1,695.23,67368,128,15,20
0,137.07,10477,145,12,29
1,619.02,59642,183,18,44
0,374.47,34532,103,9,43
1,764.55,74670,178,5,29
0,202.43,17643,166,4,42
0,165.91,13016,200,15,20
0,295.38,25808,148,14,50
0,89.78,7088,194,6,20
0,121.96,10126,112,10,25
0,224.7,19175,150,7,41
1,649.18,62633,145,7,43
1,552.91,52351,164,4,45
0,182.14,17154,100,12,18
1,555.82,52327,188,11,45
0,326.82,30542,169,10,15
1,803.84,76999,198,5,29
1,802.06,78656,118,14,41
1,577.36,55516,152,20,50
0,459.02,43442,161,18,20
1,617.59,58964,175,5,26
0,288.88,26853,100,19,18
1,687.55,66905,111,0,42
0,176.91,15241,200,18,50
1,795.62,77427,108,3,39
0,139.08,11928,167,18,43
0,270.71,24786,160,5,23
0,59.28,4228,121,18,17
1,523.07,49642,159,15,25
0,109.04,9699,101,19,21
1,660.16,65131,132,1,27
1,502.33,48893,122,8,16
0,25.57,477,192,12,38
1,622.2,59820,122,4,49
1,519.31,49136,150,15,36
1,787.78,77283,133,13,42
1,571.37,54382,194,3,32
0,307.1795742,27821,184,5,34
0,319.4258604,29811,134,13,24
0,66.53501671,4276,120,2,49
1,639.8175286,61666,148,12,28
1,789.0202885,76571,170,15,12
0,327.7326674,30743,114,8,35
1,503.8959694,47427,184,14,37
0,342.560427,31976,139,18,28
1,677.5416757,66168,113,16,11
1,671.3431793,64323,185,18,28
1,673.597913,64844,183,10,14
0,410.4713887,38470,177,0,22
0,269.3986321,24320,152,16,38
1,720.3678081,69887,110,15,48
1,767.1179085,73522,188,20,49
1,617.2114197,59893,117,15,22
1,699.2170858,66648,200,16,45
0,333.9061983,31044,130,14,40
0,423.8824869,40722,117,4,13
1,738.969148,71234,195,11,14
0,492.4130193,46632,166,9,31
0,126.5496421,10117,167,4,23
0,358.5789378,34317,102,20,12
0,257.7922143,22517,199,1,44
1,573.1346858,55186,121,20,35
0,53.33556198,2220,187,1,42
1,768.5094513,74807,130,10,28
1,774.6622576,75273,163,4,13
1,715.7009952,68814,189,11,24
1,629.7196291,61515,103,14,11
0,210.8416516,18765,153,14,19
0,220.7713323,19224,168,16,39
1,704.7510425,68156,158,10,22
1,590.0814325,56744,115,13,50
0,475.2243785,45393,108,13,46
0,458.6336749,43380,172,3,20
0,187.4344396,16195,163,13,25
1,532.6856663,50772,144,12,41
0,262.7651419,24042,149,9,19
0,126.1661676,9483,181,11,46
0,354.1893841,32933,158,17,26
0,132.8572767,11258,132,10,18
0,176.6955998,14946,187,1,20
1,705.1881045,67588,193,1,34
0,442.9530787,41215,200,10,32
0,184.3096368,16171,152,10,17
0,447.9019898,42308,161,8,27
1,609.8577278,59137,113,5,29
0,388.5859891,36387,174,10,15
1,667.676692,65001,115,13,21
1,673.5761515,65344,117,7,36
0,262.5595182,24438,100,13,31
0,195.5079341,16584,191,11,29
1,568.2575988,53971,168,13,44
0,240.0672963,21939,129,10,24
1,626.1838604,60672,100,2,46
0,394.5923112,37581,107,12,31
0,188.8660673,16688,129,0,34
1,714.3093649,68452,200,14,28
0,455.0251886,43041,156,18,27
0,316.3562745,29625,115,4,34
0,46.62155246,1761,188,17,24
0,436.5234299,41391,153,0,22
0,179.2191275,16040,108,19,26
0,276.4390901,25392,153,13,16
1,675.5114893,65491,133,12,25
1,594.0314589,56779,150,0,48
1,552.3459069,52979,139,7,32
0,339.5047373,30967,169,14,48
1,720.7969368,69318,179,8,33
0,372.302925,34719,169,3,23
0,408.4284822,38414,130,17,45
0,352.5283728,33725,105,1,14
0,498.0266018,46854,193,7,31
1,655.7711569,63547,102,16,46
0,281.6877867,26097,138,9,18
0,109.3594406,8107,162,12,42
1,731.2766642,71009,108,7,50
1,708.220468,68838,124,4,30
0,394.0283853,36236,182,16,49
1,636.6899666,61509,149,16,17
0,412.3424911,39218,140,15,13
1,716.0165242,69311,145,1,33
1,714.3804284,69311,121,15,38
0,162.1117944,14011,153,15,11
0,449.4660788,42538,178,2,11
1,803.9115291,78153,139,3,35
0,263.1370856,24540,121,13,12
1,527.5270374,50634,111,8,45
1,798.7547402,77387,144,18,42
1,542.727438,51401,168,1,48
0,376.6001095,35255,173,5,13
1,548.7907576,53157,101,16,27
1,556.1680358,52742,196,3,26
1,566.6160313,53931,171,10,35
1,738.6190938,72010,116,10,27
0,267.6329852,24099,188,0,17
1,680.7297422,64960,197,14,38
1,713.1562479,68870,154,13,32
1,569.3059309,54653,167,6,12
1,800.3545582,77281,171,7,40
0,460.9230773,43407,154,0,47
1,770.9624735,74564,175,4,24
0,420.4490318,40128,105,20,33
0,452.3155593,43468,101,10,30
0,364.1177229,33459,167,14,48
1,737.3166076,71133,167,18,30
0,377.0833073,34898,166,19,39
0,177.3726105,14689,183,18,38
1,722.4746856,70158,141,5,23
0,173.3084409,13926,196,19,49
0,423.8175725,40373,116,20,30
1,735.2545396,70954,163,16,32
0,169.5975876,13783,199,15,34
1,772.1062643,75302,105,15,38
1,738.4933172,71385,148,17,37
0,460.4958116,43884,117,2,44
1,772.7259196,74064,199,15,43
1,621.1890803,59225,196,10,26
0,323.7333881,30219,122,16,34
0,420.9728068,39649,163,1,25
1,683.6245865,65766,170,3,31
1,715.2929834,69762,109,3,29
1,708.4358163,68515,154,9,26
0,453.3447912,42764,179,2,20
1,540.010305,51831,119,19,39
0,184.2076458,15844,169,2,25
0,468.9847878,44522,150,6,30
1,797.4417309,78091,102,16,25
0,211.1673895,18194,173,13,40
0,110.9294634,8623,167,3,19
1,757.1527836,73162,161,4,36
1,631.6521352,61567,115,0,14
1,623.1128681,59661,157,20,39
0,206.7899277,17908,175,3,32
0,193.3506342,16923,132,13,41
0,196.2866821,17140,157,10,27
0,52.54390381,3101,112,7,41
1,623.0002357,59747,185,3,16
1,702.9340017,68607,123,7,12
0,123.7127519,10278,111,7,39
1,679.064523,64588,200,14,48
0,238.4704118,21038,170,16,35
0,487.9198376,46712,115,12,38
1,789.2829531,76210,165,12,41
0,151.8132585,12482,151,2,46
1,558.5836749,53226,155,8,42
0,337.8383997,31504,127,19,37
0,493.7392593,47042,121,14,48
0,432.3612084,40943,159,19,14
0,495.4112986,46832,188,16,18
1,579.0946614,55876,131,15,23
0,226.3312311,19913,189,4,18
0,221.8684932,19063,195,17,34
1,638.7552654,61170,158,19,42
0,125.1790277,9837,180,13,19
0,302.4129387,28207,136,11,17
0,424.5879032,39697,175,14,31
0,207.8560393,17860,165,7,48
0,253.907879,22867,151,19,32
0,196.1275787,16803,163,5,43
0,289.1518925,26185,144,20,50
1,504.904184,47274,193,4,48
0,31.13864346,892,104,11,50
0,408.8587179,39335,104,15,13
0,200.2116459,16988,183,12,39
0,86.2779713,6193,143,15,32
1,545.3088944,51449,181,3,50
0,290.6875056,26508,155,10,34
0,304.9577188,28903,101,10,18
1,706.5314015,68665,116,2,37
1,549.3529079,52838,105,14,47
0,265.7354896,24523,136,13,17
0,34.26180959,1211,120,8,38
0,343.4340549,32184,120,20,35
1,753.59303,72814,140,18,48
0,269.5159856,24828,118,0,39
1,725.6197859,69647,179,9,42
0,427.3566438,40188,148,0,43
1,507.3849428,48461,142,5,31
0,467.4988655,45214,100,0,20
1,785.8739669,76492,111,3,48
1,512.9113238,48817,161,20,24
0,249.9890442,23024,120,1,28
1,665.8532215,64528,140,2,22
0,387.1104953,35936,198,12,14
1,806.5273883,77909,174,11,36
1,569.3387049,54435,180,14,13
1,526.7658027,50146,163,20,26
1,725.6553651,70657,112,15,32
1,767.6132281,74061,162,12,42
0,137.1172099,11453,145,13,21
0,338.8524822,31283,142,7,48
1,799.2802653,77319,181,16,21
1,779.6044383,75562,169,3,21
1,681.7213016,65496,169,5,36
0,237.3515962,21367,151,6,26
1,650.6506298,62423,143,19,50
0,97.3432417,7015,162,2,38
1,655.7417541,62614,168,18,50
1,648.8483837,62787,116,20,38
1,501.1289641,48277,112,4,28
0,425.5616987,39578,195,12,29
1,601.7527239,58292,100,20,37
1,629.8119631,60961,111,20,37
1,673.5344076,65579,113,17,22
1,589.6936611,57311,112,9,17
0,85.66536688,6011,139,20,41
0,174.7536745,14286,183,16,47
0,472.6312221,44511,157,3,48
0,243.3407521,21928,140,13,35
0,346.2024911,32504,118,9,37
1,804.2310595,77926,168,3,28
0,391.2668568,36857,163,8,12
1,531.9792931,50280,186,7,35
0,207.4573239,17854,166,4,46
0,178.6806286,15925,114,19,25
0,127.5054368,9447,198,11,43
0,457.1563948,43208,145,12,40
0,457.3476362,42865,185,18,29
0,145.254668,12625,115,9,24
0,267.321439,23997,152,12,46
0,461.8839697,43184,172,8,50
1,723.7951731,69767,159,3,41
0,128.1700908,10174,161,15,31
1,515.7353529,49327,136,1,35
0,336.2187353,30709,167,15,45
1,555.24672,53830,104,20,22
0,270.6861933,24916,131,6,29
0,185.6931924,16715,102,12,31
1,569.0348494,54336,154,8,39
1,568.1000956,54698,139,20,20
0,249.2365744,22401,170,12,19
1,557.827079,52787,198,13,29
1,604.9581439,57796,197,4,15
0,84.39735313,6017,148,9,29
1,733.9098169,71298,146,3,20
1,719.434038,69734,148,4,25
0,205.4796956,17730,164,19,39
1,651.7038347,63203,102,13,43
1,549.8985925,52295,166,12,36
0,497.1096651,47079,176,4,26
1,646.3556356,62848,133,2,11
1,512.0748324,48877,120,10,50
1,758.5426802,73260,190,0,17
1,739.3355689,70866,182,9,49
1,602.4395931,57800,171,18,16
1,601.531264,58235,109,13,34
0,101.9193078,7587,169,1,26
1,702.7349913,67727,153,1,42
0,419.8119404,39392,163,10,31
0,275.8328906,24955,151,10,41
1,545.4998003,52646,131,18,14
0,169.0443342,14882,102,19,39
0,306.4889415,28657,112,8,34
1,732.983713,70965,135,14,40
0,37.32378098,1139,169,3,24
0,364.3962953,34749,100,4,27
1,610.2016878,58366,148,13,48
1,613.2197006,58864,174,13,16
0,470.6373269,44033,180,17,43
0,180.8051135,14714,199,6,48
0,283.5564845,25344,184,8,39
0,433.9598433,40340,180,10,46
0,244.8641568,22588,123,12,18
0,459.617012,43302,175,15,25
1,670.9863658,65197,111,3,35
1,724.2551216,70397,139,12,19
0,482.3503623,45486,168,8,38
1,771.1241121,75341,123,14,16
1,505.1080445,48872,114,10,13
